Фраза,Показы,Пиллар,Интент,Тип,Сид,Asset,Статус,Приоритет,ЦелевойURL,Причина
профессии специальности после 11 класса,315,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступить ребенку после 11 класса,314,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
самые высокооплачиваемые профессии после 11 класса,314,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
какую профессию выбрать список профессий,313,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
новокузнецк техникумы после 9 класса профессии,313,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
творческие профессии после 11 класса,313,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступить с физика математика информатика,313,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
тест на профессию девушке онлайн бесплатно,313,D,commercial,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
самые высокооплачиваемые рабочие профессии,312,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
работа кем пойти работать,308,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
какие хорошие профессии после 11 класса,308,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
пройти тест на профессию бесплатно,308,D,commercial,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
куда поступить после 11 класса за границу,307,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
кем можно пойти работать в 14,306,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
профессии в чите после 9 класса,305,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
работы профессии после 9 класса,305,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
выбор профессии как выбрать,304,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
профессия повар кондитер после 9 класса,304,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
востребованные профессии в россии после 11 класса,304,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
бесплатные профессии после 11 класса,304,C,commercial,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступить с географией и английским,304,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
профессии педагогического колледжа после 9 класса,303,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
губернский колледж профессии после 9 класса,303,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
куда поступить в иркутске девушке,303,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
как выбрать профессию 11 класс,302,C,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
куда поступить после 11 класса мед,302,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда можно поступить с предметом географии,302,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
самые лучшие профессии после 9 класса,301,C,info,top,c03_professii_posle_9,main,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
профессии в ставрополе после 9 класса,301,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
какие бывают инженеры специальности,301,E,info,assoc,e04_professii_buduschego,main,Контент-хаб без рейтинга,P1,/professiya/ (раздел),Нет данных прогноза — контент без рейтинга
профориентация в школе 2026,301,0,info,top,p08_proforientaciya_2026,main,Расширить (раздел хаба),P1,/proforientaciya/,Year-stamp → хаб
куда поступить учиться девушке,300,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
какую профессию выбрать мальчику после 9,299,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступить после 11 класса в пензе,299,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
колледжи екатеринбурга после 9 класса профессии,299,C,info,top,c03_professii_posle_9,aggregator,Gated — нужны данные,P3,—,Нет данных СПО/уровня после 9
какие профессии выбрать после 9 класса мальчикам,298,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступить с биологией новосибирск,297,C,info,top,c12_s_biologiej,aggregator,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
тест на выбор профессии 11 класс,296,D,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
биология какие профессии после 11 класса,294,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
география профессии после 11 класса,294,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступить с базовой математикой и физикой,294,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
куда поступать после 11 класса специалитет,293,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
выборы профессии после 11 класса,293,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступить с информатикой 40 баллов,293,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
куда поступить с химией спб,293,C,info,top,c14_s_himiej,aggregator,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
выбор профессии после 11 класса,292,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда можно поступить с английским и информатикой,292,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
какую профессию выбрать в колледже,290,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
на кого пойти учиться девочке после 9,290,C,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
кем пойти работать в 16,290,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
техникум какое образование считается по закону,290,C,info,assoc,c05_postupit_v_kolledzh,main,Gated — нужны данные,P3,—,Нет реестра колледжей (СПО)
куда поступать с биологией и математикой профиль,290,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
работа в голландии,290,D,info,assoc,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
самые высокооплачиваемые профессии в 2026 году,290,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
куда можно поступить в красноярске девушке,289,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
профессии после 11 класса с историей,288,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступать с физикой девушке,288,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
низкие баллы куда поступить с биологией,288,C,info,top,c12_s_biologiej,main,Создана посадочная,P3,/kuda-postupat-s-biologiej/,Перечень Минобрнауки → направления (готово)
куда поступить после 11 класса военное,287,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
диагностический тест климова,286,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
классификатор специальностей высшего образования,284,C,info,assoc,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
вузы куда можно поступить с информатикой,284,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
вузы куда можно поступить с физикой,282,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
тест на будущую профессию бесплатно,282,D,commercial,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
тест на какую профессию идти,281,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
профессии для поступления после 11 класса,280,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступить с химией в питере,280,C,info,top,c14_s_himiej,aggregator,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
дифференциальный тест климова,280,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
кем можно стать в классе,278,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
куда поступать с профматом и физикой,278,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
тест на психолога профессия,278,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
тест профориентация бесплатно для школьников 9 класс,278,D,commercial,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
профессии кем можно стать девушке,277,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
после 11 класса куда можно поступить учиться,277,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда пойти учиться на кого,276,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
кем пойти работать женщине,275,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
куда можно поступить после 9 11 класса,275,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда можно поступить с экзаменами химия биология,275,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
как проходит профориентация,275,0,info,top,p06_projti_proforientaciyu,main,Использовать существующую,P1,/test/,Транзакционный «пройти» → квиз
не знаю какую профессию выбрать,274,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда можно поступить с обществом и информатикой,273,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
тест климова дифференциально диагностический,273,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
куда поступать после школы 11 классов,272,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступать после 11 парню,272,C,info,top,c09_kuda_postupat_parnyu,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#parnyu,Гендер-срез после 11
куда поступить с информатикой казань,272,C,info,top,c13_s_informatikoj,aggregator,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
тест на профориентацию 8 класс,272,D,info,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тест голланда пройти онлайн,271,D,commercial,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
профориентация для школьников 8,271,0,info,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
профориентация для школьников 8 класс,269,0,info,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
куда поступить в чите после 11 класса,268,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
тест климова дифференциально диагностический опросник,268,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
пройду тест по профориентации,268,D,info,top,p06_projti_proforientaciyu,main,Использовать существующую,P1,/test/,Транзакционный «пройти» → квиз
казань куда поступить с физикой,267,C,info,top,c15_s_fizikoj,aggregator,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
куда поступать с профилем и географией,267,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
какую лучше выбрать профессию после 9,266,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
лечебное дело кем можно стать,266,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
куда поступать с информатикой и биологией,266,C,info,top,c13_s_informatikoj,main,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
куда поступить после 11 класса платно,265,C,commercial,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить после 11 класса в оренбурге,265,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
центры профориентации молодежи,264,0,info,top,p07_centr_proforientacii,main,Расширить (раздел хаба),P1,/proforientaciya/,«Центр профориентации» → хаб/онлайн
куда поступить с профилем и химией,262,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
кем можно пойти работать в 14 лет,261,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
куда поступить в ставрополе после 11 класса,261,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
кем пойти работать в 16 лет,260,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
куда поступить после 11 девушке профессии,260,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить после 11 класса в ижевске,259,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить в хабаровске после 11 класса,259,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
обучение после 11 класса профессии,259,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
тест климова человек человек,257,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
на кого пойти учиться высшее образование,255,B,info,top,b04_na_kogo_pojti_uchitsya,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,ВЧ-инфо → хаб выбора + каталоги + /test/
единая модель профориентации 2026,255,0,info,top,p08_proforientaciya_2026,main,Расширить (раздел хаба),P1,/proforientaciya/,Year-stamp → хаб
куда поступить после 11 класса в смоленске,254,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступают после 11 класса на бакалавриат,254,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
профессии для девочек после 11 класса,254,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
куда поступать с физикой и биологией,254,C,info,top,c15_s_fizikoj,main,Создана посадочная,P3,/kuda-postupat-s-fizikoj/,Перечень Минобрнауки → направления (готово)
какую профессию лучше выбрать после 9 класса,253,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
как можно выбрать профессию,253,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
куда поступить после 9 класса челябинск девушке,252,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить с информатикой спб,252,C,info,top,c13_s_informatikoj,aggregator,Создана посадочная,P3,/kuda-postupat-s-informatikoj/,Перечень Минобрнауки → направления (готово)
куда поступать с химией и профматом,252,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
какая профессия мне подходит без регистрации,251,B,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
кем можно стать после 11 класса,250,C,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
тест какая профессия мне подходит бесплатно онлайн,250,D,commercial,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
тест какая профессия мне подходит без регистрации,249,D,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
какие профессии можно выбрать после 9,248,C,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступать 11 класса парню,248,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить на стоматолога после 11 класса,247,C,info,top,c02_kuda_postupat_posle_11,main,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда можно поступить с физикой и химией,247,C,info,top,c14_s_himiej,main,Создана посадочная,P3,/kuda-postupat-s-himiej/,Перечень Минобрнауки → направления (готово)
как выбрать профессию жизни,245,B,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
какая профессия мне больше подходит,243,B,info,top,b05_kakaya_professiya_podhodit,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Подбор профессии → /test/
с экзаменом истории куда можно поступить,242,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
как понять какую профессию выбрать,241,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
на кого можно пойти работать после 9,241,C,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
психологический тест на профессию,240,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
куда поступить после 11 девушке список,238,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
тест типа голланда,238,D,info,top,d07_test_gollanda,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-gollanda/,Именованная методика (RIASEC — рабочее название)
востребованные профессии после 11 класса список,236,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
какие профессии самые востребованные и высокооплачиваемые,236,E,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
как помочь ребенку выбрать профессию,234,A,info,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
куда поступать с литературой и историей егэ,233,C,info,top,c11_s_istoriej,main,Создана посадочная,P3,/kuda-postupat-s-istoriej/,Перечень Минобрнауки → направления (готово)
тест на профессию после 11 бесплатно,233,D,commercial,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
тест опросник е а климова,233,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
интересные профессии после 11 класса,232,C,info,top,c04_professii_posle_11,main,Расширить существующую,P2,/professiya/ + хаб-11,Профессии после 11 → каталог/направления
тюмень куда поступить девушке,232,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
куда поступить после 9 класса томск девушке,232,C,info,top,c08_kuda_postupat_devushke,aggregator,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
тест климова бесплатно,232,D,commercial,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
самые высокооплачиваемые профессии после 9 класса девушке,232,C,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
обществознание кем можно стать,231,B,info,top,b03_kem_mozhno_stat,main,Расширить существующую,P0,/professiya/,«Кем можно стать» = список профессий → каталог
самые высокооплачиваемые профессии в россии после 11,231,C,info,top,e03_vysokooplachivaemye,main,Создать новую посадочную (рейтинг),P0,/professii-vysokooplachivaemye/,Рейтинг по зарплатам Росстата окт-2025 — данные есть
кем пойти работать юристу,230,B,info,top,b06_kem_pojti_rabotat,main,Расширить существующую,P0,/professiya/,«Кем пойти работать» = список профессий → каталог
проф тест на профессию,230,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
тест на профориентацию бесплатно для школьников 9,229,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тест профориентации для школьников 8,229,D,info,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
куда поступить после 11 класса во владивостоке,228,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
куда поступить в вуз с географией,227,C,info,top,c16_s_geografiej,main,Создана посадочная,P3,/kuda-postupat-s-geografiej/,Перечень Минобрнауки → направления (готово)
дифференциально диагностический опросник е а климова тест,227,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
тест климова е а дифференциально диагностический,227,D,info,top,d08_test_klimova,main,Создать статью в хабе,P1,/testy-na-proforientaciyu/test-klimova/,Именованная методика Климова
куда поступить после 11 класса в чебоксарах,225,C,info,top,c02_kuda_postupat_posle_11,aggregator,Создать новый контент-хаб,P2,/kuda-postupat-posle-11-klassa/,После 11 → вузы/направления (данные есть)
как выбрать профессию тест бесплатно,224,D,commercial,top,b02_kak_vybrat_professiyu,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб → /test/
какую профессию выбрать с хорошей зарплатой,223,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
тест профориентация холланда онлайн,223,D,commercial,top,d01_test_na_proforientaciyu,main,Создать новый контент-хаб,P1,/testy-na-proforientaciyu/,Хаб о тестах → /test/ (SERP: формат-статья достижим)
тест на профессию для девушек,223,D,info,top,d05_test_na_professiyu,main,Расширить (раздел хаба),P1,/testy-na-proforientaciyu/,«Тест на профессию» → хаб → /test/
какие профессии стоит выбрать,222,B,info,top,b01_kakuyu_professiyu_vybrat,main,Создать новый контент-хаб,P1,/kak-vybrat-professiyu/,Инфо-хаб выбора профессии → /test/
куда поступать девушке с русским,222,C,info,top,c08_kuda_postupat_devushke,main,Контент/фильтр (не дубль),P2,/kuda-postupat-posle-11-klassa/#devushke,Гендер-срез после 11
онлайн профориентация для школьников 9 класс,222,0,commercial,top,p03_prof_dlya_shkolnikov,main,Расширить (раздел хаба),P1,/proforientaciya/,Срез «для школьников»
профориентация в школе 2025 2026,222,0,info,top,p08_proforientaciya_2026,main,Расширить (раздел хаба),P1,/proforientaciya/,Year-stamp → хаб
